,City
2838,Antwerp
2841,Antwerp
2844,Antwerp
2847,Antwerp
2850,Antwerp
2853,Antwerp
2856,Antwerp
2859,Antwerp
2865,Antwerp
2866,Antwerp
2867,Antwerp
2868,Antwerp
2877,Antwerp
2878,Antwerp
2879,Antwerp
2880,Antwerp
2894,Antwerp
2895,Antwerp
2896,Antwerp
2897,Antwerp
2898,Antwerp
2899,Antwerp
2900,Antwerp
2910,Antwerp
2912,Antwerp
2913,Antwerp
2914,Antwerp
2915,Antwerp
2916,Antwerp
2917,Antwerp
2918,Antwerp
2919,Antwerp
2920,Antwerp
2921,Antwerp
2922,Antwerp
2923,Antwerp
2925,Antwerp
2935,Antwerp
2936,Antwerp
2937,Antwerp
2938,Antwerp
2939,Antwerp
2940,Antwerp
2941,Antwerp
2942,Antwerp
2951,Antwerp
2952,Antwerp
2953,Antwerp
2954,Antwerp
2955,Antwerp
2956,Antwerp
2957,Antwerp
2958,Antwerp
2967,Antwerp
2968,Antwerp
2969,Antwerp
2970,Antwerp
2971,Antwerp
2972,Antwerp
2973,Antwerp
2974,Antwerp
2983,Antwerp
2985,Antwerp
2987,Antwerp
2990,Antwerp
2993,Antwerp
2996,Antwerp
2999,Antwerp
3002,Antwerp
3005,Antwerp
3008,Antwerp
3013,Antwerp
3014,Antwerp
3015,Antwerp
3020,Antwerp
3023,Antwerp
3026,Antwerp
3032,Antwerp
3033,Antwerp
3034,Antwerp
3035,Antwerp
3044,Antwerp
3045,Antwerp
3046,Antwerp
3047,Antwerp
3053,Antwerp
3056,Antwerp
3059,Antwerp
3062,Antwerp
3067,Antwerp
3068,Antwerp
3069,Antwerp
3074,Antwerp
3077,Antwerp
3080,Antwerp
3083,Antwerp
3086,Antwerp
3089,Antwerp
3092,Antwerp
3095,Antwerp
3098,Antwerp
3101,Antwerp
3104,Antwerp
3107,Antwerp
3110,Antwerp
3113,Antwerp
3116,Antwerp
3119,Antwerp
3122,Antwerp
3125,Antwerp
3128,Antwerp
3131,Antwerp
3137,Antwerp
3138,Antwerp
3139,Antwerp
3140,Antwerp
3147,Antwerp
3148,Antwerp
3152,Antwerp
3155,Antwerp
3161,Antwerp
3162,Antwerp
3163,Antwerp
3164,Antwerp
3169,Antwerp
3174,Antwerp
3175,Antwerp
3176,Antwerp
3177,Antwerp
3183,Antwerp
3189,Antwerp
3190,Antwerp
3191,Antwerp
3192,Antwerp
3198,Antwerp
3203,Antwerp
3204,Antwerp
3205,Antwerp
3206,Antwerp
3207,Antwerp
3212,Antwerp
3221,Antwerp
3222,Antwerp
3223,Antwerp
3224,Antwerp
3225,Antwerp
3226,Antwerp
3227,Antwerp
3228,Antwerp
3229,Antwerp
3230,Antwerp
3241,Antwerp
3248,Antwerp
3249,Antwerp
3250,Antwerp
3251,Antwerp
3252,Antwerp
3253,Antwerp
3254,Antwerp
3255,Antwerp
3265,Antwerp
3273,Antwerp
3274,Antwerp
3275,Antwerp
3276,Antwerp
3277,Antwerp
3278,Antwerp
3279,Antwerp
3280,Antwerp
3301,Antwerp
3302,Antwerp
3303,Antwerp
3304,Antwerp
3305,Antwerp
3306,Antwerp
3307,Antwerp
3308,Antwerp
3309,Antwerp
3310,Antwerp
3311,Antwerp
3312,Antwerp
3313,Antwerp
3314,Antwerp
3334,Antwerp
3360,Antwerp
3361,Antwerp
3362,Antwerp
3363,Antwerp
3364,Antwerp
3365,Antwerp
3366,Antwerp
3367,Antwerp
3368,Antwerp
